(-2.06158388586, 4.08811891099)
(-2.69929688641, 2.98514629651)
(2.71056233973, -0.617674262411)
(4.24159298041, -4.0651661005)
(3.11592775594, 3.58437192863)
(-4.95466402483, -4.81467920082)
(1.790095232, 4.21824385992)
(-2.39798704668, -0.401706101413)
(4.73358270083, 0.106066755888)
(1.94454403038, 1.21041990375)
(-4.92490199229, -2.0224300268)
(3.65652053576, -2.91843927603)
(8.49225623946, -2.33969155883)
(0.561772649056, 13.89112392408)
(3.64694958754, 2.57238055929)
(-3.27968133504, -4.05171434326)
(9.77487817657, -2.38060423665)
(-3.91817517799, -2.34851744406)
(-2.20602331355, 0.169805308602)
(-1.26367358093, -3.62026110406)
(1.82676405859, 0.673176178722)
(2.63735176854, 3.67816616241)
(2.51263853507, -4.65847232213)
(-1.32171939502, -1.93985296314)
(-0.100868833459, 2.00911420103)
(2.6829018198, -1.23181040328)
(9.412349910002, 2.61371868116)
(1.50708976053, -1.7739385216)
(3.16923614936, -2.26105813662)
(-2.02684373109, -4.69695917458)
(1.81670742883, 0.700680948495)
(-4.89119211642, 4.36626147526)
